question_id ;question_english;correct_answer_english;incorrect_answer_1_english;incorrect_answer_2_english;incorrect_answer_3_english;question_french;correct_answer_french;incorrect_answer_1_french;incorrect_answer_2_french;incorrect_answer_3_french
B-005-012-009;Resonant circuits in a receiver are used to:;select the desired signal frequencies;filter direct current;amplify audio signals;adjust voltage levels;Les circuits résonants sont utilisés dans un récepteur pour:;sélectionner les fréquences désirées;filtrer le courant continu;amplifier les signaux audio;régler les niveaux de tension
B-005-012-010;Resonance is the condition that exists when:;inductive reactance and capacitive reactance are equal and opposite in sign;inductive reactance is the only opposition in the circuit;the circuit contains no resistance;resistance is equal to the reactance;La résonance est la condition qui existe quand:;la réactance inductive et la réactance capacitive sont égales, mais de signes contraires;la réactance inductive est la seule opposition dans le circuit;le circuit n'inclut pas de résistance;la résistance est égale à la réactance
B-005-012-011;What happens to current when a series RLC circuit is tuned to the frequency of the source?;It reaches maximum;It is limited by inductive reactance;It is limited by capacitive reactance;It reaches minimum;Qu'arrive-t-il au courant lorsqu'un circuit RLC série est accordé sur la fréquence de la source?;Il atteint le maximum;Il est limité par la réactance inductive;Il est limité par la réactance capacitive;Il atteint le minimum
B-005-013-001;How is a voltmeter usually connected to a circuit under test?;In parallel with the circuit;In series with the circuit;In quadrature with the circuit;In phase with the circuit;Comment doit-on relier un voltmètre dans un circuit que l'on veut vérifier?;En parallèle avec le circuit;En série avec le circuit;En quadrature avec le circuit;En phase avec le circuit
B-005-013-002;How is an ammeter usually connected to a circuit under test?;In series with the circuit;In quadrature with the circuit;In phase with the circuit;In parallel with the circuit;Comment relier un ampèremètre au circuit que l'on vérifie?;En série avec le circuit;En quadrature avec le circuit;En phase avec le circuit;En parallèle avec le circuit
B-005-013-003;What does a multimeter measure?;Voltage, current and resistance;Resistance, capacitance and inductance;Resistance and reactance;SWR and power;Que peut mesurer un multimètre?;Le voltage, le courant et la résistance;La résistance, la capacité et l'inductance;La résistance et la réactance;Le ROS et la puissance
B-005-013-004;What is the correct instrument to measure the final power amplifier current?;An ammeter;An ohmmeter;A wattmeter;A voltmeter;Quel est le bon instrument pour mesurer le courant de l'étage final d'un émetteur?;Un ampèremètre;Un ohmmètre;Un wattmètre;Un voltmètre
B-005-013-005;When measuring the voltage across a circuit component, what does the voltmeter appear to be in the circuit?;A high value resistance;A low value resistance;An open circuit;A perfect conductor;Lorsqu'on mesure le voltage aux bornes d'un composant, comment se comporte le voltmètre raccordé au circuit?;Comme une résistance de valeur élevée;Comme une résistance de faible valeur;Comme un circuit ouvert;Comme un conducteur parfait
B-005-013-006;When measuring current drawn from a DC power supply, what does the ammeter placed in the circuit appear as?;A low value resistance;A perfect conductor;An additional load;A high value resistance;Lorsqu'on mesure le courant débité par un bloc d'alimentation CC, comment se comporte l'ampèremètre inséré dans le circuit?;Une résistance de faible valeur;Un conducteur parfait;Une charge supplémentaire;Une résistance de valeur élevée
B-005-013-007;What instrument can provide a direct measurement of power at the output of a transmitter?;RF wattmeter;Wavemeter;Field-strength meter;Ammeter;Quel instrument permet la lecture directe de la puissance à la sortie d'un émetteur?;Un wattmètre RF;Un ondemètre;Un mesureur de champ;Un ampèremètre
B-005-013-008;Potential difference is measured by means of:;a voltmeter;a wattmeter;an ohmmeter;an ammeter;Une différence de potentiel se mesure au moyen d'un:;voltmètre;wattmètre;ohmmètre;ampèremètre
B-005-013-009;What instrument is used to measure electrical current?;Ammeter;Wavemeter;Wattmeter;Voltmeter;Quel instrument est utilisé pour mesurer le courant électrique?;Un ampèremètre;Un ondemètre;Un wattmètre;Un voltmètre
B-005-013-010;What term describes the ability of an instrument to display values that are true to reality?;Accuracy;Precision;Resolution;Stability;Quel terme décrit la capacité d'un instrument à afficher des valeurs conformes à la réalité?;Exactitude;Précision;Résolution;Stabilité
B-006-001-001;What connects your transceiver to your antenna?;A transmission line;A counterpoise wire;A ground wire;A radial wire;Qu'est-ce qui relie votre émetteur-récepteur à votre antenne?;Une ligne de transmission;Un fil de contrepoids;Un fil de mise à la terre;Un fil radial
B-006-001-002;The characteristic impedance of a transmission line is determined by the:;physical dimensions and relative positions of the conductors;length of the line;frequency at which the line is operated;load placed at the end of the line;L'impédance caractéristique d'une ligne de transmission est déterminée par:;les dimensions physiques et les positions relatives des conducteurs;la longueur de la ligne;la fréquence à laquelle on utilise la ligne;la charge branchée à l'extrémité distante
B-006-001-003;The characteristic impedance of a 20-metre piece of transmission line is 52 ohms. What would the impedance be if 10 metres were cut off?;52 ohms;26 ohms;104 ohms;13 ohms;L'impédance caractéristique d'un tronçon (ou section) de ligne de transmission mesurant 20 mètres est de 52 ohms. Si l'on coupait 10 mètres de ce tronçon, quelle en serait l'impédance?;52 ohms;26 ohms;104 ohms;13 ohms
B-006-001-004;Why can coaxial cables of different diameters have the same characteristic impedance?;Their characteristic impedance depends on the ratio of conductor diameters;Characteristic impedance is independent of line diameter;Characteristic impedance is set by the choice of conducting material;Their characteristic impedance depends on operating frequency;Pourquoi des câbles coaxiaux de diamètres différents peuvent-ils avoir la même impédance caractéristique?;Leur impédance caractéristique dépend du rapport des diamètres des conducteurs;L'impédance caractéristique est indépendante du diamètre de la ligne;L'impédance caractéristique est définie par le choix du matériau conducteur;Leur impédance caractéristique dépend de la fréquence de fonctionnement
B-006-001-005;What commonly available transmission line can be buried directly in the ground for some distance without adverse effects?;Coaxial cable;300-ohm window line;600-ohm open-wire line;75-ohm twin-lead;Quelle ligne de transmission, communément en vente sur le marché, peut être enfouie directement dans le sol sur une certaine distance, sans effets défavorables?;Le câble coaxial;La ligne bifilaire ajourée ("window line") de 300 ohms;La ligne ouverte de 600 ohms;La ligne bifilaire de 75 ohms
B-006-001-006;A transmitter is delivering radio frequency (RF) energy into a coaxial cable with a characteristic impedance of 50 ohms. The cable is terminated by a purely resistive load. What value of load resistance will absorb all the RF energy it receives?;50 ohms;25 ohms;100 ohms;200 ohms;Un émetteur délivre de l'énergie radiofréquence (RF) dans un câble coaxial avec une impédance caractéristique de 50 ohms. Le câble est terminé par une charge purement résistive. Quelle valeur de résistance de charge absorbera toute l'énergie RF qu'elle reçoit?;50 ohms;25 ohms;100 ohms;200 ohms
B-006-001-007;What is the major factor influencing the velocity factor of a coaxial cable?;Dielectric material;Center conductor material;Size and spacing of the conductors;Use of a solid or braided shield;Quel est le principal facteur influençant le facteur de vélocité d'un câble coaxial?;Le matériau diélectrique;Le matériau du conducteur central;La dimension et l'espacement des conducteurs;L'utilisation d'un blindage rigide ou tressé
B-006-001-008;The characteristic impedance of an open-wire transmission line depends, in part, on the diameter of its conductors. What other dimension determines its characteristic impedance?;Spacing of the conductors;Length of the line;Height above ground;Distance to metal structures;Le diamètre des conducteurs détermine, en partie, l'impédance caractéristique d'une ligne de transmission ouverte, dite "en échelle". Quelle autre dimension entre en jeu?;L'espacement des conducteurs;La longueur de la ligne;La hauteur par rapport au sol;La distance la séparant de structures métalliques
B-006-001-009;A transmission line is terminated by an impedance that differs significantly from the characteristic impedance of the line. What impedance will be measured at the input of the line?;A value of impedance influenced by line length;An infinite impedance;A zero impedance;An impedance nearly equal to the characteristic impedance;Une ligne de transmission se termine sur une impédance qui diffère significativement de l'impédance caractéristique de la ligne. Quelle impédance mesure-t-on à l'entrée de la ligne?;Une impédance dépendante de la longueur de la ligne;Une impédance infinie;Une impédance nulle;Une impédance presque égale à l'impédance caractéristique
B-006-001-010;What factors determine the characteristic impedance of an open-wire transmission line?;The distance between the centres of the conductors and the diameter of the conductors;The distance between the centres of the conductors and the length of the line;The radius of the conductors and the frequency of the signal;The frequency of the signal and the length of the line;Quels facteurs déterminent l'impédance caractéristique d'une ligne de transmission ouverte, dite "en échelle"?;La distance centre-centre entre les conducteurs et le diamètre des conducteurs;La distance centre-centre entre les conducteurs et la longueur de la ligne;Le rayon des conducteurs et la fréquence du signal;La fréquence du signal et la longueur de la ligne
B-006-001-011;What factors determine the characteristic impedance of a coaxial transmission line?;The ratio of the diameter of the outer shield to the diameter of the inner conductor;The diameter of the shield and the length of the line;The diameter of the shield and the frequency of the signal;The frequency of the signal and the length of the line;Quels facteurs déterminent l'impédance caractéristique d'un câble coaxial?;Le rapport du diamètre du conducteur extérieur sur le diamètre du conducteur intérieur;Le diamètre du conducteur extérieur et la longueur de la ligne;Le diamètre du conducteur extérieur et la fréquence du signal;La fréquence du signal et la longueur de la ligne
B-006-002-001;What kind of transmission line has a centre wire inside an insulating material that is covered by a metal shield or sleeve?;Coaxial cable;Window line;Open-wire line;Waveguide;Quel type de ligne de transmission comporte un fil central entouré d'un matériau isolant recouvert d'une gaine conductrice ou d'une tresse métallique?;Un câble coaxial;Une ligne bifilaire ajourée ("window line");Une ligne ouverte, dite "en échelle";Un guide d'ondes
B-006-002-002;What kind of transmission line has two wires side-by-side embedded in insulating material?;Window line;Coaxial cable;Waveguide;Open-wire line;Quel type de ligne de transmission est fait de deux conducteurs tenus côte à côte par un matériau isolant?;Une ligne bifilaire ajourée ("window line");Un câble coaxial;Un guide d'ondes;Une ligne ouverte
B-006-002-003;What kind of transmission line is made of two conductors held apart by insulated rods?;Open-wire line;Coaxial cable;Window line;Twisted pair;Quel type de ligne de transmission est faite de deux conducteurs, tenus séparés par des tiges isolantes?;Une ligne ouverte, dite "en échelle";Un câble coaxial;Une ligne bifilaire ajourée ("window line");Une paire torsadée
B-006-002-004;What is the purpose of a balun?;Connect balanced and unbalanced systems;Increase antenna gain;Shunt common-mode current to ground;Balance antenna impedance;Quelle est la fonction d'un symétriseur ("balun")?;Relier entre eux des systèmes symétriques et asymétriques;Augmenter le gain de l'antenne;Dériver le courant en mode commun vers la terre;Équilibrer l'impédance de l'antenne
B-006-002-005;Where would you install a balun to feed a dipole antenna with 50-ohm coaxial cable?;Between the coaxial cable and the antenna;Between the transmitter and the coaxial cable;Between the antenna and the ground;Between the coaxial cable and the ground;Où doit-on placer le symétriseur pour alimenter une antenne dipôle avec une ligne de transmission coaxiale d'une impédance caractéristique de 50 ohms?;Entre le câble coaxial et l'antenne;Entre l'émetteur et le câble coaxial;Entre l'antenne et la prise de terre;Entre le câble coaxial et la prise de terre
B-006-002-006;What causes a transmission line to be unbalanced?;One conductor is connected to ground;The conductors are twisted together;One conductor has a poor connection at the antenna;The conductors have deteriorated insulation;Qu'est-ce qui rend une ligne de transmission asymétrique?;Un des conducteurs est relié à une prise de terre;Les conducteurs sont torsadés ensemble;Un conducteur a une mauvaise connexion à l'antenne;L'isolation des conducteurs est en mauvais état
B-006-002-007;What device can be installed to feed a balanced antenna with an unbalanced transmission line?;A balun;A triaxial transformer;A wave trap;A loading coil;Quel dispositif est utilisé pour relier une ligne de transmission asymétrique à une antenne symétrique?;Un symétriseur ("balun");Un transformateur triaxial;Un piège à onde;Une bobine de charge
B-006-002-008;What device should you use to connect a coaxial cable to window line?;A balun;A surge suppressor;A phasing harness;A tuning stub;Quel dispositif devriez-vous placer entre du câble coaxial et de la ligne bifilaire ajourée ("window line")?;Un symétriseur;Un parasurtenseur;Un harnais de mise en phase;Un segment de ligne d'adaptation ("stub")
B-006-002-009;A balanced transmission line:;is made of two parallel wires;has one conductor inside the other;carries RF current on one wire only;is made of one conductor only;Une ligne de transmission symétrique:;est constituée par deux fils parallèles;comporte un conducteur entouré par un autre;transmet le courant RF seulement dans un conducteur;est une ligne à un seul conducteur
B-006-002-010;Your antenna tuner does not have a balanced output and you wish to use window line to feed an HF antenna. What device should you use between the tuner and the transmission line?;Balun;Transmission line stub;Quarter-wave transformer;Autotransformer;Votre bloc d'accord d'antenne ne possède pas de sortie symétrique et vous souhaitez utiliser une ligne bifilaire ajourée ("window line") pour alimenter une antenne HF. Quel dispositif devriez-vous utiliser entre le bloc d'accord et la ligne de transmission?;Un symétriseur;Un segment de ligne d'adaptation ("stub");Un transformateur quart d'onde;Un autotransformateur
B-006-002-011;What kind of transmission line has two conductors maintained side by side, a constant distance apart, using insulated spreaders?;Open-wire line;Coaxial cable;Twin-lead;Twisted pair;Quel type de ligne de transmission comporte deux conducteurs maintenus à une distance uniforme l'un de l'autre au moyen d'entretoises isolantes ("spreaders")?;Une ligne ouverte, dite "en échelle";Un câble coaxial;Une ligne bifilaire;Une paire torsadée
B-006-003-001;A transmission line must be supported for several metres by attaching it to a metal fence. What type of transmission line will NOT be adversely affected by proximity to the fence?;Coaxial cable;Twin-lead;Open-wire line;Window line;Une ligne de transmission doit être soutenue sur plusieurs mètres en la fixant à une clôture métallique. Quel type de ligne de transmission ne sera PAS affecté par la proximité de la clôture?;Un câble coaxial;Une ligne bifilaire;Une ligne ouverte, dite "en échelle";Une ligne bifilaire ajourée ("window line")
B-006-003-002;A common-mode current choke can be made by winding coaxial cable on a ferrite toroid. Why is cable with solid dielectric preferred over foam dielectric?;Less risk of a short due to centre conductor movement;Less impedance inserted in the signal path;More flexible and easier to handle;More impedance to common-mode current;Une bobine d'arrêt en mode commun ("common-mode choke") peut être réalisée en enroulant un câble coaxial sur un tore de ferrite. Pourquoi un câble avec diélectrique solide est-il préférable au câble avec diélectrique en mousse?;Moins de risque de court-circuit dû à un déplacement du conducteur central;Moins d'impédance insérée dans le circuit du signal;Plus flexible et plus facile à manipuler;Plus d'impédance au courant en mode commun
B-006-003-003;Why do most amateur radio antenna systems use coaxial cable, rather than other types of transmission line?;More usable in a wide variety of settings;Less loss;More power handling capability;Less expensive;Pourquoi la plupart des radioamateurs utilisent-ils le câble coaxial plutôt que d'autres types de lignes de transmission pour leurs systèmes d'antennes?;Il est utilisable dans une grande variété de situations;Il offre moins de perte;Il peut supporter plus de puissance;Il se détaille à meilleur prix
B-006-003-004;What type of connector is commonly installed on RG-213 coaxial cable for connection to an HF transceiver?;A PL-259 connector;An F-type connector;An SMA connector;A BNC connector;Quel type de connecteur est habituellement installé pour relier un câble coaxial RG-213 à un émetteur-récepteur HF?;Un connecteur PL-259;Un connecteur de type F;Un connecteur SMA;Un connecteur BNC
B-006-003-005;What type of connector usually joins a modern hand-held transceiver to its antenna?;An SMA connector;A PL-259 connector;An F-type connector;An RCA connector;Quel type de connecteur est généralement utilisé pour relier un émetteur-récepteur portatif moderne à son antenne?;Un connecteur SMA;Un connecteur PL-259;Un connecteur de type F;Un connecteur RCA
B-006-003-006;Which popular RF connector is designed to be moisture resistant?;N;UHF;BNC;SMA;Quel connecteur RF populaire est conçu pour résister à l'humidité?;Le connecteur N;Le connecteur UHF;Le connecteur BNC;Le connecteur SMA
B-006-003-007;What type of RF connector is commonly used for low-power transceivers and test instruments?;BNC;N;UHF;RCA;Quel type de connecteur RF est couramment utilisé pour les émetteurs-récepteurs de faible puissance et les appareils de vérification?;Le connecteur BNC;Le connecteur N;Le connecteur UHF;Le connecteur RCA
B-006-003-008;Why should you regularly clean and tighten all antenna connectors?;To help keep their contact resistance at a minimum;To minimize dielectric losses;To maintain lightning protection;To prevent static electricity buildup;Pourquoi devriez-vous régulièrement nettoyer et serrer les connecteurs d'une ligne de transmission?;Pour vous assurer que la résistance de contact demeure très faible;Pour minimiser les pertes diélectriques;Pour maintenir la protection contre la foudre;Pour éviter l'accumulation d'électricité statique
B-006-003-009;What type of coaxial outer conductor offers the best shielding?;Solid shield;Aluminum foil;Single braided shield;Double braided shield;Quel type de conducteur extérieur offre le meilleur blindage sur du câble coaxial?;Un blindage rigide;Un feuillard d'aluminium;Une gaine tressée simple;Une double gaine tressée
B-006-003-010;If your location is frequently affected by icing conditions, which type of transmission line would be the most suitable?;Coaxial cable;Open-wire line;Window line;Twin-lead;Si votre emplacement est fréquemment affecté par des conditions de givrage, quel type de ligne de transmission serait le plus approprié?;Le câble coaxial;La ligne ouverte, dite "en échelle";La ligne bifilaire ajourée ("window line");La ligne bifilaire
B-006-003-011;What is the primary advantage of choosing a coaxial cable with a foam dielectric instead of a solid dielectric?;Lower loss;Higher power handling;Lower velocity factor;Better mechanical stability;Quel est le principal avantage de choisir un câble coaxial avec un diélectrique en mousse au lieu d'un diélectrique solide?;Des pertes réduites;Une puissance admissible plus élevée;Un facteur de vélocité inférieur;Une meilleure stabilité mécanique
B-006-004-001;What is the major adverse consequence of using RG-58 coaxial cable for a transmission line operating on the 70 cm band?;Excess RF loss in the transmission line;Excess reflections at the antenna feed point;Excess RF radiation from the transmission line;Excess transmission line heating;Quel est le principal effet indésirable de l'utilisation d'un câble coaxial RG-58 pour une ligne de transmission fonctionnant sur la bande de 70 cm?;Une perte RF excessive dans la ligne de transmission;Des réflexions excessives au point d'alimentation de l'antenne;Un rayonnement RF excessif de la ligne de transmission;Un échauffement excessif de la ligne de transmission
B-006-004-002;What is the major advantage of open-wire transmission line?;It can be operated at high SWR without excessive loss;It can be located near metal objects without problems;It has low impedance, which facilitates matching to a transceiver;It does not radiate RF energy, which could cause interference to nearby equipment;Quel est le principal avantage de la ligne de transmission ouverte, dite "en échelle"?;Elle peut fonctionner à un ROS élevé sans perte excessive;Elle peut être placée à proximité d'objets métalliques sans problèmes;Elle a une faible impédance, ce qui facilite l'adaptation à un émetteur-récepteur;Elle ne rayonne pas d'énergie RF susceptible de provoquer des perturbations à de l'équipement à proximité
B-006-004-003;If your transmitter and antenna are 15 metres apart, but are connected by 60 metres of RG-58 coaxial cable, what should be done to reduce transmission line loss?;Shorten the excess cable;Install a balun at the antenna feed point;Roll the excess cable into a coil;Install a low-pass filter at the transceiver;Si votre émetteur est situé à 15 mètres de votre antenne, et que vous utilisez un câble coaxial RG-58 long de 60 mètres, que devriez-vous faire pour réduire la perte de puissance dans la ligne de transmission?;Diminuer autant que possible la longueur du câble coaxial;Installer un symétriseur au point d'alimentation de l'antenne;Enrouler le câble excédentaire en un rouleau très serré;Installer un filtre passe-bas à l'émetteur-récepteur
B-006-004-004;As the length of a transmission line is changed, what happens to signal loss?;Signal loss increases as the length increases;Signal loss decreases as the length increases;Signal loss is the least when the length is the same as the signal's wavelength;Signal loss is the same for any length of transmission line;Si l'on change la longueur d'une ligne de transmission, qu'advient-il de la perte?;Il y a plus de perte lorsqu'on augmente la longueur de la ligne;La perte diminue lorsque la longueur augmente;La perte est minimale lorsque la longueur de la ligne équivaut à une longueur d'onde;La perte reste inchangée, peu importe la longueur de la ligne
B-006-004-005;As the frequency of a signal is changed, what happens to signal loss in a transmission line?;Signal loss increases with increasing frequency;Signal loss increases with decreasing frequency;Signal loss increases as the square of frequency;Signal loss is the same for any frequency;Lorsque l'on fait varier la fréquence d'un signal, qu'arrive-t-il à la perte d'une ligne de transmission?;La perte augmente à mesure que la fréquence augmente;La perte augmente à mesure que la fréquence diminue;La perte de signal augmente avec le carré de la fréquence;La perte est la même, quelle que soit la fréquence
B-006-004-006;Assuming the same transmitter and RF output power are used, what is the effect of changing the transmission line from RG-213 coaxial cable to RG-58?;Less RF power is radiated from the antenna;More RF power is radiated from the antenna;SWR at the antenna increases;SWR at the antenna decreases;En supposant que le même émetteur et la même puissance de sortie RF soient utilisés, quel effet aurait un changement de ligne de transmission en câble coaxial RG-213 pour du RG-58?;Moins de puissance RF est rayonnée par l'antenne;Plus de puissance RF est rayonnée par l'antenne;Le ROS au niveau de l'antenne augmente;Le ROS au niveau de l'antenne diminue
B-006-004-007;The lowest loss transmission line on HF is:;open-wire line;75-ohm twin-lead;coaxial cable;300-ohm twin-lead;La ligne de transmission ayant les plus faibles pertes en HF est:;la ligne ouverte;la ligne bifilaire de 75 ohms;le câble coaxial;la ligne bifilaire de 300 ohms
B-006-004-008;In what values are RF transmission line losses expressed?;Decibel per unit length;Ohms per MHz;Decibel per MHz;Ohms per metre;Selon quelle valeur exprime-t-on les pertes RF dans les lignes de transmission?;En décibels par unité de longueur;En ohms par MHz;En décibels par MHz;En ohms par mètre
B-006-004-009;If the length of a coaxial transmission line is increased from 20 metres to 40 metres, how would this affect the line loss?;It would be increased by 100%;It would be increased by 50%;It would be increased by 10%;It would be increased by 20%;Si la longueur d'un câble coaxial qui sert à alimenter une antenne est augmentée de 20 mètres à 40 mètres, quel sera l'effet sur la perte de la ligne?;La perte augmentera de 100 %;La perte augmentera de 50 %;La perte augmentera de 10 %;La perte augmentera de 20 %
B-006-004-010;If the operating frequency is increased, how does the transmission line loss change?;Loss increases, due to internal line losses;Loss increases, due to increased wave velocity;Loss decreases, due to skin effect;Loss decreases, due to decreased SWR;Si la fréquence d'exploitation augmente, comment la perte de la ligne de transmission change-t-elle?;La perte augmente en raison des pertes internes de la ligne;La perte augmente en raison de l'augmentation de la vélocité des ondes;La perte diminue, en raison de l'effet pelliculaire ("skin effect");La perte diminue, en raison de la diminution du ROS
B-006-005-001;What does an SWR reading of 1:1 mean?;The best impedance match has been attained;Reflected power equals forward power;An impedance transformer is needed at the antenna feed point;An antenna tuner is needed at the transmitter;Quelle est la signification d'une lecture 1:1 sur un ROS-mètre?;Un accord d'impédance parfait;La puissance réfléchie égale la puissance incidente;Un transformateur d'impédance est requis au point d'alimentation de l'antenne;Un bloc d'accord d'antenne est requis à l'émetteur
B-006-005-002;What does an SWR reading of less than 1.5:1 mean?;A fairly good impedance match;An impedance match that is too low;A serious impedance mismatch, something may be wrong with the antenna system;An antenna gain of 1.5;Quelle est la signification d'une lecture de moins de 1,5:1 sur un ROS-mètre?;Un accord d'impédance tout à fait acceptable;Un accord d'impédance trop bas;Une désadaptation importante, il pourrait y avoir un problème dans le système d'antenne;Un gain d'antenne de 1,5
B-006-005-003;What is the most likely cause of erratic readings on an SWR meter?;Intermittent connection in the antenna system;Transmitting into the wrong antenna;Interference from electrical power lines;Lack of a balun at the antenna feed point;Quelle est la cause la plus probable de lectures erratiques (en dents de scie) sur un ROS-mètre?;Une connexion intermittente dans le système d'antenne;La sélection de la mauvaise antenne pour la fréquence d'exploitation;Des perturbations issues des lignes électriques;L'absence de symétriseur au point d'alimentation de l'antenne
B-006-005-004;Which of the following can cause a high SWR reading?;An open or short circuit in the antenna system;Grounding the shield of the coaxial cable at the building entrance;Using a very long transmission line;Replacing RG-213 coaxial cable with RG-58;Laquelle des situations suivantes peut causer une lecture élevée sur un ROS-mètre?;Un circuit ouvert ou un court-circuit dans le système d'antenne;Une mise à la terre du blindage du câble coaxial à l'entrée du bâtiment;L'utilisation d'une très longue ligne de transmission;Le remplacement d'un câble coaxial RG-213 par du RG-58
B-006-005-005;What is the main adverse effect due to operating with high SWR?;Increased transmission line loss;Increased receive noise level;Increased transmission line radiation;Increased common-mode current;Quel est le principal effet indésirable de l'exploitation avec un ROS élevé?;Une augmentation de la perte de la ligne de transmission;Une augmentation du niveau de bruit reçu;Une augmentation du rayonnement de la ligne de transmission;Une augmentation du courant en mode commun
B-006-005-006;What instrument is useful in adjusting the physical length of an antenna?;Antenna analyzer;Multimeter;Capacitance meter;Frequency meter;Quel instrument est utile pour régler la longueur physique d'une antenne?;Un analyseur d'antenne;Un multimètre;Un capacimètre;Un fréquencemètre
B-006-005-007;If the characteristic impedance of the transmission line does not match the antenna input impedance then:;standing waves are produced in the transmission line;heat is produced at the junction;the SWR reading falls to 1:1;the antenna will not radiate any signal;Si l'impédance caractéristique de la ligne de transmission diffère de l'impédance d'entrée de l'antenne:;des ondes stationnaires apparaissent dans la ligne de transmission;on observe un échauffement à la jonction;le rapport d'onde stationnaire chute à 1:1;l'antenne ne rayonne aucun signal
B-006-005-008;The result of the presence of standing waves on a transmission line is:;reduced transfer of RF energy to the antenna;perfect impedance match between transmitter and transmission line;maximum transfer of energy to the antenna from the transmitter;lack of radiation from the transmission line;La présence d'ondes stationnaires dans la ligne de transmission:;donne un transfert réduit d'énergie RF vers l'antenne;indique une adaptation d'impédance optimale entre l'émetteur et la ligne de transmission;donne un transfert maximal d'énergie de l'émetteur à l'antenne;indique un manque de rayonnement de la ligne de transmission
B-006-005-009;What does an SWR meter measure to determine the SWR?;Forward and reflected voltage;Radiated RF energy;Conductor temperature;Common-mode current;Que mesure un ROS-mètre pour déterminer le ROS?;Les tensions incidente et réfléchie;L'énergie RF rayonnée;La température du conducteur;Le courant en mode commun
B-006-005-010;What information can be obtained with an antenna analyzer?;SWR of the antenna system over a range of frequencies;Radiation pattern of the antenna;Gain of the antenna;Front-to-back ratio of the antenna;Quelles informations peuvent être obtenues avec un analyseur d'antenne?;Le ROS du système d'antenne sur une gamme de fréquences;Le diagramme de rayonnement de l'antenne;Le gain de l'antenne;Le rapport avant/arrière de l'antenne
B-006-005-011;What is the effect of line loss on the SWR reading at the station?;It decreases the SWR, because reflected energy is attenuated;It decreases the SWR, because less power reaches the antenna;It has no effect, because SWR compares voltages;It has no effect, because forward and reflected power are both affected;Quel est l'effet de la perte de ligne sur la lecture du ROS à la station?;La lecture diminue, car l'énergie réfléchie est atténuée;La lecture diminue, car moins de puissance atteint l'antenne;La lecture est inchangée, car le ROS compare des tensions;La lecture est inchangée, car les puissances incidente et réfléchie sont toutes deux affectées
B-006-006-001;Which of the following antenna system conditions will cause a modern solid-state HF transceiver to automatically reduce power?;Excessive impedance mismatch between transceiver and transmission line;Transmitting to a balanced antenna with an unbalanced transmission line;Open circuit in lightning surge protector ground connection;Excessive antenna element movement in high winds;Laquelle des conditions suivantes du système d'antenne entraînera une réduction automatique de la puissance d'un émetteur-récepteur HF moderne à semi-conducteurs?;Une désadaptation d'impédance excessive entre l'émetteur-récepteur et la ligne de transmission;L'utilisation d'une antenne symétrique avec une ligne de transmission asymétrique;Un circuit ouvert dans la mise à la terre du parafoudre;Un mouvement excessif de l'antenne par vent fort
B-006-006-002;What does an antenna tuner do?;It matches a transceiver to a mismatched antenna system;It helps a receiver automatically tune in stations that are far away;It switches an antenna system to a transmitter when sending, and to a receiver when listening;It switches multiple transceivers to a common transmission line and antenna;Quel est le rôle du bloc d'accord d'antenne?;Il adapte l'émetteur à un système d'antenne non adapté;Il permet au récepteur de syntoniser automatiquement des stations éloignées;Il relie le système d'antenne à l'émetteur durant l'émission, et au récepteur durant la réception;Il commute une ligne de transmission et une antenne unique à différents émetteurs-récepteurs
B-006-006-003;An end-fed half-wave antenna (EFHW) has a very high feed point impedance. What device could be used to provide a good match to 50-ohm coaxial cable?;A transformer;A quarter-wave stub;A counterpoise;A good ground on the coax shield;Une antenne demi-onde alimentée en extrémité ("EFHW") a une impédance très élevée au point d'alimentation. Quel dispositif pourrait être utilisé pour fournir une adaptation adéquate avec un câble coaxial de 50 ohms d'impédance?;Un transformateur;Une ligne d'adaptation d'un quart d'onde;Un fil de contrepoids;Une bonne mise à la terre sur la gaine du câble coaxial
B-006-006-004;If both source and load impedances are purely resistive, what value of load impedance will result in maximum power delivery to the load?;Load impedance equal to the source impedance;Load impedance equal to half of the source impedance;Load impedance equal to twice the source impedance;Load impedance equal to the square root of source impedance;Si les impédances de la source et de la charge sont purement résistives, quelle valeur d'impédance de charge permettra un transfert maximal de puissance à la charge?;Une impédance de charge égale à l'impédance de la source;Une impédance de charge égale à la moitié de l'impédance de la source;Une impédance de charge égale à deux fois l'impédance de la source;Une impédance de charge égale à la racine carrée de l'impédance de la source
B-006-006-005;What is the advantage of locating an antenna tuner near the antenna feed point, over locating it near the transceiver?;Less transmission line loss;More harmonic suppression;Less atmospheric noise pickup;More usable bandwidth;Quel est l'avantage d'installer un bloc d'accord d'antenne près du point d'alimentation de l'antenne plutôt qu'à la station?;Des pertes moindres dans la ligne;Une suppression accrue des harmoniques;Un captage moindre de bruit atmosphérique;Une largeur de bande accrue
B-006-006-006;How does an antenna tuner compensate for an impedance mismatch in an antenna system?;By adding capacitive or inductive reactance;By diverting reflections to a dummy load;By increasing the conductance of the transmission line;By adjusting the resonant frequency of the antenna;Comment un bloc d'accord d'antenne compense-t-il une désadaptation d'impédance dans un système d'antenne?;En ajoutant de la réactance capacitive ou inductive;En détournant les réflexions vers une charge fictive;En augmentant la conductance de la ligne de transmission;En réglant la fréquence de résonance de l'antenne
